lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
drejtë	N	drejtës	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
drejtësi	N	drejtësisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
duhem	V	duhet	verb; 3rd person singular present indicative non-active impersonal of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
dukem	V	dukej	verb; 3rd person singular imperfect subjunctive non-active of	exact	Subjunctive.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
dukem	V	dukur	verb; participle of	exact	participle	
dy	Det	dy	determiner;	unmapped		category requires category-specific reviewed mapping
dëborë	N	dëborë	noun, feminine; nominative singular indefinite of	exact	s.Indef.Nom.Sg;g=Fem	
e	Conj	e	conjunction;	exact	s	invariant/closed-category surface evidence
e	Particle	e|i|së|të	particle; feminine accusative plural definite of | particle; feminine accusative plural indefinite of | particle; feminine accusative singular definite of | particle; feminine accusative singular indefinite of | particle; feminine genitive plural definite of | particle; feminine genitive singular definite of | particle; feminine nominative plural definite of | particle; feminine nominative singular definite of | particle; feminine nominative singular indefinite of | particle; feminine nominative singular of | particle; masculine ablative plural definite of | particle; masculine ablative singular definite of | particle; masculine accusative plural definite of | particle; masculine accusative singular definite of | particle; masculine accusative singular indefinite of | particle; masculine genitive plural definite of | particle; masculine genitive singular definite of | particle; masculine nominative plural definite of | particle; masculine nominative singular definite of | particle; masculine nominative singular indefinite of	ambiguous		source has 4 distinct forms but 20 analyses; alignment is not one-to-one
edhe	Adv	edhe	adverb;	exact	s	invariant/closed-category surface evidence
ekonomi	N	ekonomisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
ekonomik	A	ekonomike	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
eshtër	N	eshtrave	noun, feminine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
fat	N	fati	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
femër	N	femrave	noun, feminine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
fillim	N	fillimi	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
filloj	V	fillojë	verb participle of;	exact	participle	
filloj	V	filluan	verb; 3rd person plural past definite indicative active of	exact	Indicative.Aorist.Pl.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
filloj	V	filluar	verb; 3rd person singular present subjunctive active of	exact	Subjunctive.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
fitore	N	fitoren	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
flaktë	A	flakta	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
flamur	N	flamuri	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
flamur	N	flamurit	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
fund	N	fund	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
fundit	A	fundit	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
fushë	N	fushat	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
fushë	N	fushën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
gjeneral	N	gjenerali	noun, masculine; ablative singular definite of	exact	s.Def.Ablat.Sg;g=Masc	
gjeneral	N	gjeneralit	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
gjer	Prep	gjer	preposition, accusative;	exact	c=Acc;s	
gjinor	A	gjinore	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
gjithmonë	Adv	gjithmonë|gjithëmonë	adverb;	ambiguous		source has 2 distinct forms but 1 analyses; alignment is not one-to-one
gjuhë	N	gjuha	noun, feminine; genitive plural indefinite of	exact	s.Indef.Dat.Pl;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
gjuhë	N	gjuhë	noun, feminine; nominative plural indefinite of	exact	s.Indef.Nom.Pl;g=Fem	
gjuhë	N	gjuhëve	noun, feminine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Fem	
gusht	N	gushtit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
himn	N	himni	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
huaj	A	huaj	adjective; feminine singular of | adjective; masculine singular of	ambiguous		source has 1 distinct forms but 2 analyses; alignment is not one-to-one
hyrje	N	hyrjes	noun, feminine; dative singular definite of	exact	s.Def.Dat.Sg;g=Fem	
im	Pron	time	pronoun; feminine accusative singular of	unmapped		category requires category-specific reviewed mapping
jam	V	ishte|janë|jenë|është	verb; 3rd person plural present indicative active of | verb; 3rd person plural present subjunctive active of | verb; 3rd person singular imperfect indicative active of | verb; 3rd person singular imperfect indicative of | verb; 3rd person singular present indicative active of	ambiguous		source has 4 distinct forms but 5 analyses; alignment is not one-to-one
jap	V	dhënë	verb; 3rd person singular imperfect subjunctive active of	exact	Subjunctive.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
jap	V	jepte	verb; past definite participle of	exact	participle	
jetë	N	jetën	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
jetë	N	jetës	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
ju	Pron	ju|juve	pronoun; dative of | pronoun; dative weak of | pronoun; nominative of	ambiguous		source has 2 distinct forms but 3 analyses; alignment is not one-to-one
juaj	Pron	tuaj	pronoun; accusative singular of	unmapped		category requires category-specific reviewed mapping
kam	V	ka	verb; 1st person plural present indicative active of	exact	Indicative.Pres.Pl.P1	voice label retained as evidence metadata; current Verb table has no voice dimension
kam	V	kanë	verb; 2nd person plural present indicative active of	exact	Indicative.Pres.Pl.P2	voice label retained as evidence metadata; current Verb table has no voice dimension
kam	V	kemi	verb; 3rd person plural imperfect indicative active of	exact	Indicative.Imperfect.Pl.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
kam	V	kini	verb; 3rd person plural present indicative active of	exact	Indicative.Pres.Pl.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
kam	V	kishin	verb; 3rd person singular imperfect indicative active of	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
kam	V	kishte	verb; 3rd person singular present indicative active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
karakter	N	karakterin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
